Product Names,Product Prices,Product Ratings,User Reviews
"HP 15 Laptop, 11th Gen Intel Core i5-1135G7 Processor, 8 GB RAM, 256 GB SSD Storage, 15.6” Full HD IPS Display, Windows 10 Home, HP Fast Charge, Lightweight Design (15-dy2021nr, 2020)",$717.99,3.0,"
  This is a good decent laptop for school kids or college students. Not for business use. The specs on the sellers site are deceiving. The screen quality is not what it says. It's just a typical LCD screen that has a little more brightness than it's older predecessor. It does not have backlit keys and the keyboard lettering can't hardly be seen.The laptop feels cheap and fragile. I get worried when carrying it. Hard drive is not upgradeable. The battery life does not last as long as stated in the Sellers site. We ran tests using several programs and browsing the internet. Overall, it is not designed for creative design. As stated it is good for home use, school kids and college students. Not good for traveling even though it is a little light and it is overpriced. We donated ours to a school.
"
"HP 15 Laptop, 11th Gen Intel Core i5-1135G7 Processor, 8 GB RAM, 256 GB SSD Storage, 15.6” Full HD IPS Display, Windows 10 Home, HP Fast Charge, Lightweight Design (15-dy2021nr, 2020)",$717.99,1.0,"
  As I expected, and unfortunately am right...this is LOUSY and I do NOT need the frustration...First it said I wasn't hooked up with Microsoft....then when I called for help it told me to go to the website!! Finally I got a human being....they said we could bypass MIcrosoft....(when doe sTHAT become a problem?)  To do THAT...i had to shut down my rotor, with other household members using it...NO  WAY...It is going BACK in the box and BACK to Amazon in the morning..I did NOT pay all this money for frustration and irritation....No idea when I'll ever order another NEW computer....I'll stick to used TYVM
"
"HP 15 Laptop, 11th Gen Intel Core i5-1135G7 Processor, 8 GB RAM, 256 GB SSD Storage, 15.6” Full HD IPS Display, Windows 10 Home, HP Fast Charge, Lightweight Design (15-dy2021nr, 2020)",$717.99,5.0,"
  Reviewing laptopHP 15 Laptop, 11th Gen Intel Core i5-1135G7 Processor, 8 GB RAM, 256 GB SSD Storage, 15.6” Full HD IA new, light, well designed product.  The camera is not as good as described but totally acceptable for an online class. This version works well with zoom, can handle advanced features like virtual background. Set up was easy
"
"HP 15 Laptop, 11th Gen Intel Core i5-1135G7 Processor, 8 GB RAM, 256 GB SSD Storage, 15.6” Full HD IPS Display, Windows 10 Home, HP Fast Charge, Lightweight Design (15-dy2021nr, 2020)",$717.99,1.0,"
  Camera and microphone didn’t work. Called hp for help. Told me it was a refurbished computer and couldn’t fix the problem. Takes very long time to get your money back. Be Aware!!
"
"HP 15 Laptop, 11th Gen Intel Core i5-1135G7 Processor, 8 GB RAM, 256 GB SSD Storage, 15.6” Full HD IPS Display, Windows 10 Home, HP Fast Charge, Lightweight Design (15-dy2021nr, 2020)",$717.99,5.0,"
  Nice laptop.Pros: lightweight and thin design. Decent amount of storage 256 GB but not huge. Solid state drive so computer boots up within seconds. 11th gen intel Core i5 processor. 8 GB Ram. 0 to 50% fast charge in about 45 minutes. 15.6 “ full HD display. Bluetooth capableCons:Does not have a lighted keyboard or DVD drive.Highly recommend for regular use, I.e browsing, streaming, music etc.
"
"HP 15 Laptop, 11th Gen Intel Core i5-1135G7 Processor, 8 GB RAM, 256 GB SSD Storage, 15.6” Full HD IPS Display, Windows 10 Home, HP Fast Charge, Lightweight Design (15-dy2021nr, 2020)",$717.99,4.0,"
  I've had this product for about a month and really have no complaints.  Boots up quick with no delay.  My only issue is with the on/off switch.  It's too small.  Also, I miss not having an indicator light showing when ""caps lock"" is on.  Other than these two issues I really like the unit!
"
"HP 15 Laptop, 11th Gen Intel Core i5-1135G7 Processor, 8 GB RAM, 256 GB SSD Storage, 15.6” Full HD IPS Display, Windows 10 Home, HP Fast Charge, Lightweight Design (15-dy2021nr, 2020)",$717.99,4.0,"
  So far I have had this laptop for like 5 hours and i already am in love with it.  It moves light years faster than my husbands Hp and the screen quality is phenomenal.  I am looking forward to using this laptop more through my next few years of college.  The only thing that would have made the laptop better would be a backlit keyboard, other than that at this time it's a perfect fit for what i need it to do.
"
"HP 15 Laptop, 11th Gen Intel Core i5-1135G7 Processor, 8 GB RAM, 256 GB SSD Storage, 15.6” Full HD IPS Display, Windows 10 Home, HP Fast Charge, Lightweight Design (15-dy2021nr, 2020)",$717.99,5.0,"
  Set up was a breeze. Screen size and keyboard are great. The price was great. I'm glad it's not a touchsceen. I had that feature on my last one and I would only recommend that if you really need it. Brushing hair or lint off the screen always messed things up. So far this laptop has been awesome and just what i needed.
"
"Razer Blade 15 Base Gaming Laptop 2021: Intel Core i7-10750H 6 Core, NVIDIA GeForce RTX 3060, 15.6"" FHD 1080p 144Hz, 16GB, 512GB SSD - CNC Aluminum - Chroma RGB Lighting - Thunderbolt 3","$1,699.99",1.0,"
  I bought this computer and it has a user associated with Windows, I can't use it.It does not come with any instructivos.
"
"Razer Blade 15 Base Gaming Laptop 2021: Intel Core i7-10750H 6 Core, NVIDIA GeForce RTX 3060, 15.6"" FHD 1080p 144Hz, 16GB, 512GB SSD - CNC Aluminum - Chroma RGB Lighting - Thunderbolt 3","$1,699.99",5.0,"
  Great laptop. Even tho its a 3070 you still gotta mess w nvidias 3D settings and with the games internal vsync settings to really optimize each game. 360 hz is awsome but don't play demanding games at high settings with 360 hz cause the screen completely glitches out. Took me a week of internal pain to figure that out. They run smooth at 60hz w vsync (depending on game) though. For games that don't have a refresh rate option in their settings (weird but games such as Sniper Elite 4 don't have it) go to the razer synapses and change it in the performance tab to 60. Then when ur done playing go back and change it to 360 if you want. Kinda a hassle but that's what you get with a machine like this. You just can't win lol. Overall awsome powerhouse that's so slim and fits right in your backpack without taking much space. But omg the power supply is so thiccc. Battery life is awsome, given that it's an insanely powerful gaming laptop. Lasts almost 3 hours when using google nonstop. Look if you want battery life get a Mac. But for gaming this thing rocks. Just have some patience and once you set up everything you'll begin planning your wedding to this thing. Peace.
"
"Razer Blade 15 Base Gaming Laptop 2021: Intel Core i7-10750H 6 Core, NVIDIA GeForce RTX 3060, 15.6"" FHD 1080p 144Hz, 16GB, 512GB SSD - CNC Aluminum - Chroma RGB Lighting - Thunderbolt 3","$1,699.99",5.0,"
  The computer is really nice. I'm not an expert on gaming computers or anything like that. It is my first gaming laptop. When playing games, the computer does get decently hot. The fans start running harder almost instantly when running a game but the way it looks and feels, is totally great.
"
"Razer Blade 15 Base Gaming Laptop 2021: Intel Core i7-10750H 6 Core, NVIDIA GeForce RTX 3060, 15.6"" FHD 1080p 144Hz, 16GB, 512GB SSD - CNC Aluminum - Chroma RGB Lighting - Thunderbolt 3","$1,699.99",5.0,"
  I was actually surprised at how well this computer performs while multitasking. I use this laptop with an external monitor as well as a Bluetooth mechanical keyboard. Right now it’s my daily driver for a workstation until my new desktop comes in and it’s getting the job done. It is capable of getting 144fps in Fortnite I haven’t tried any other games on it though.
"
